ACCURL,ACCTEXT,ACCTEXTW,ACCTYPE
http://www.arb.org.uk/student,Prescribed by the Architects Registration Board (ARB) for the purpose of registration in the UK.,Achrededig gan Fwrdd Cofrestru Penseiri (ARB) at bwrpas cymhwysedd ar gyfer cofrestru gyda'r corff hwnnw.,00101
http://www.arb.org.uk/student,Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,Achrededig gan y Fwrdd Cofrestru Penseiri (ARB) at bwrpas cymhwyster Rhan 1,00102
http://www.arb.org.uk/student,Prescribed by the Architects Registration Board (ARB) at Part 2 level for the purpose of registration in the UK.,Achrededig gan y Fwrdd Cofrestru Penseiri (ARB) at bwrpas cymhwyster Rhan 2,00103
http://www.arb.org.uk/student,Prescribed by the Architects Registration Board (ARB) at Part 3 level for the purpose of registration in the UK.,Achrededig gan y Fwrdd Cofrestru Penseiri (ARB) at bwrpas cymhwyster Rhan 3,00104
https://www.archives.org.uk/careers.html,Accredited by the Archives and Records Association (ARA) for the purpose of eligibility for registration with that body.,Hachredu gan y Gymdeithas Archifau a Cofnodion (ARA) at ddibenion cymhwyster ar gyfer cofrestru gyda'r corff hwnnw.,00201
https://www.associationfornutrition.org/degree-accreditation,Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,Achrededig gan Gymdeithas er Maeth (AfN) at bwrpas cymhwysedd ar gyfer Cofrestriad Mynediad Uniongyrchol ar Lefel Gysylltiedig gyda Chofrestr Wirfoddol Maethegwyr y DU (UKVRN).,00301
https://www.associationfornutrition.org/degree-accreditation,Certified by the Association for Nutrition (AfN) as meeting AfN Standards for Course Certification for the purpose of enhancing the competence of those who give nutrition information to the public.,Ardystiedig gan y Gymdeithas Faeth (AfN) fel un sy'n bodloni'r Safonau AFN ar gyfer Ardystio Cwrs er mwyn gwella cymhwysedd y rhai sy'n rhoi gwybodaeth am faeth i'r cyhoedd.,00302
http://www.apm.org.uk/acadaccreditation,"APM Academic Accreditation assesses programmes or modules to help students and professionals choose the best education in support of their project management careers. Academic Accreditation identifies courses and modules which are aligned to the APM Body of Knowledge, 6th edition. Working with other accreditation streams we offer clear, visible and joined-up career progression opportunities.","APM Achredu Academaidd yn asesu rhaglenni neu fodiwlau i helpu myfyrwyr a gweithwyr proffesiynol yn dewis addysg orau i gefnogi eu gyrfaoedd rheoli prosiect. Achrediad Academaidd yn nodi cyrsiau a modiwlau sy'n cael eu halinio i'r Corff APM Gwybodaeth, 6ed argraffiad. Gweithio gydag achredu eraill ffrydiau rydym yn cynnig cyfleoedd dilyniant gyrfa cydgysylltiedig glir, yn weladwy ac.",00401
http://www.aat.org.uk/membership/maat-full-membership/joining-aat-from-a-partner-university,Accredited by the Association of Accounting Technicians (AAT) for the purpose of eligibility to apply for full membership with that body.,Achrededig gan Gymdeithas Technegwyr Cyfrifo (AAT) at bwrpas cymhwysedd i wneud cais am aelodaeth lawn gyda'r corff hwnnw.,00501
http://www.accaglobal.com/en/qualifications/apply-now/exemptions.html,Accredited by the Association of Chartered Certified Accountants (ACCA) for the purpose of exemptions from some professional examinations.,Achrededig gan Gymdeithas Cyfrifyddion Siartredig Ardystiedig (ACCA) at bwrpas eithriadau rhag rhai arholiadau proffesiynol.,00601
https://www.aiaworldwide.com/aia-journey/#qualifications,Accredited by the Association of International Accountants (AIA) for the purpose of exemption from some professional examinations.,Achrededig gan Gymdeithas Cyfrifwyr Rhyngwladol (AIA) at bwrpas eithrio rhag rhai arholiadau proffesiynol.,00701
https://www.associationofmbas.com/business-schools/accreditation/accredited-schools/,Accredited by the Association of MBAs (AMBA).,Hachredu gan y Gymdeithas MBA (AMBA).,00801
http://www.aacsb.edu/accreditation/accredited-members/global-listing,Accredited by the Association to Advance Collegiate Schools of Business (AACSB).,Achrededig gan Gymdeithas Hyrwyddo Ysgolion Colegol Busnes (AACSB),00901
http://www.bcs.org/accredited,"Accredited by BCS, the Chartered Institute for IT for the purposes of fully meeting the academic requirement for registration as a Chartered IT Professional.","Achredir gan BCS, Sefydliad Siartredig TG at ddibenion llawn cwrdd â'r gofynion academaidd ar gyfer cofrestru fel TG Proffesiynol Siartredig.",01101
http://www.bcs.org/accredited,"Accredited by BCS, the Chartered Institute for IT for the purposes of fully meeting the further learning academic requirement for registration as a Chartered IT Professional.","Achredir gan BCS, Sefydliad Siartredig TG at ddibenion llawn cwrdd â'r gofynion academaidd ar ddysgu pellach ar gyfer cofrestru fel TG Proffesiynol Siartredig.",01102
http://www.bcs.org/accredited,"Accredited by BCS, the Chartered Institute for IT for the purposes of partially meeting the academic requirement for registration as a Chartered IT Professional.","Cydnabuwyd gan BCS, y Sefydliad Siartredig ar gyfer TG at bwrpas cwrdd yn rhannol â'r gofyniad academaidd ar gyfer cofrestru fel Gweithiwr Proffesiynol TG Siartredig.",01103
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,"Accredited by BCS, the Chartered Institute for IT on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as a Chartered Engineer.","Achredir gan BCS, Sefydliad Siartredig TG ar ran y Cyngor Peirianneg at ddibenion llawn cwrdd â'r gofynion academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.",01104
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,"Accredited by BCS, the Chartered Institute for IT on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for Incorporated Engineer and partially meeting the academic requirement for a Chartered Engineer.","Cydnabuwyd gan BCS, y Sefydliad Siartredig ar gyfer TG ar ran y Cyngor Peirianneg at bwrpasau cwrdd yn llawn â'r gofyniad academaidd ar gyfer Peiriannydd Corfforedig a chwrdd yn rhannol â'r gofyniad academaidd ar gyfer Peiriannydd Siartredig.",01105
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,"Accredited by BCS, the Chartered Institute for IT on behalf of the Engineering Councilfor the purposes of partially meeting the academic requirement for registration as a CharteredEngineer.","Achredir gan BCS, Sefydliad Siartredig TG ar ran y Cyngor Peirianneg at ddibenion rhannol gwrdd â'r gofynion academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.",01110
http://www.bcs.org/content/conWebDoc/51757,"Accredited by BCS, the Chartered Institute for IT for the award of Euro-Inf Bachelor Quality Label on behalf of EQANIE (European Quality Assurance Network for Informatics Education e.V.) as satisfying the outcomes of First Cycle Programmes specified by the Euro-Inf Framework Standards and Accreditation Criteria for Informatics Degree Programmes.","Achredir gan BCS, Sefydliad Siartredig TG gyfer dyfarnu Label Ansawdd Euro - inf Baglor ar ran EQANIE (Rhwydwaith Ewropeaidd ar Sicrwydd Ansawdd ar gyfer Addysg Gwybodeg e.V.) fel bodloni canlyniadau Rhaglenni Cylch Cyntaf a bennir gan y - inf Euro Safonau Fframwaith a Meini prawf achredu ar gyfer Rhaglenni Gradd Gwybodeg",01111
http://www.bcs.org/content/conWebDoc/51757,"Accredited by BCS, the Chartered Institute for IT for the award of Euro-Inf Master Quality Label on behalf of EQANIE (European Quality Assurance Network for Informatics Education e.V.) as satisfying the outcomes of Second Cycle Programmes specified by the Euro-Inf Framework Standards and Accreditation Criteria for Informatics Degree Programmes.","Achredir gan BCS, Sefydliad Siartredig TG gyfer dyfarnu Label Euro - inf Meistr Ansawdd ar ran EQANIE (Rhwydwaith Ewropeaidd ar Sicrwydd Ansawdd ar gyfer Addysg Gwybodeg e.V.) fel bodloni canlyniadau Rhaglenni Ail Gylch a bennir gan y Safonau Fframwaith Ewro- inf a Meini prawf achredu ar gyfer Rhaglenni Gradd Gwybodeg",01112
