LEO5SECSBJ,KISMODE,KISLEVEL,LEO5SECPOP_UK,LEO5LQ_UK,LEO5MED_UK,LEO5UQ_UK,LEO5SECPOP_E,LEO5LQ_E,LEO5MED_E,LEO5UQ_E,LEO5SECPOP_NW,LEO5LQ_NW,LEO5MED_NW,LEO5UQ_NW,LEO5SECPOP_NE,LEO5LQ_NE,LEO5MED_NE,LEO5UQ_NE,LEO5SECPOP_EM,LEO5LQ_EM,LEO5MED_EM,LEO5UQ_EM,LEO5SECPOP_WM,LEO5LQ_WM,LEO5MED_WM,LEO5UQ_WM,LEO5SECPOP_EE,LEO5LQ_EE,LEO5MED_EE,LEO5UQ_EE,LEO5SECPOP_SE,LEO5LQ_SE,LEO5MED_SE,LEO5UQ_SE,LEO5SECPOP_SW,LEO5LQ_SW,LEO5MED_SW,LEO5UQ_SW,LEO5SECPOP_YH,LEO5LQ_YH,LEO5MED_YH,LEO5UQ_YH,LEO5SECPOP_LN,LEO5LQ_LN,LEO5MED_LN,LEO5UQ_LN,LEO5SECPOP_W,LEO5LQ_W,LEO5MED_W,LEO5UQ_W,LEO5SECPOP_CF,LEO5LQ_CF,LEO5MED_CF,LEO5UQ_CF,LEO5SECPOP_S,LEO5LQ_S,LEO5MED_S,LEO5UQ_S,LEO5SECPOP_ED,LEO5LQ_ED,LEO5MED_ED,LEO5UQ_ED,LEO5SECPOP_GL,LEO5LQ_GL,LEO5MED_GL,LEO5UQ_GL
CAH01,01,03,11405,45500,52000,59000,9690,45500,52000,59500,1320,45500,51500,59000,470,44000,50500,57500,625,46000,52000,59000,845,45000,51500,59500,705,46000,53000,61000,1315,45000,52000,59000,980,45000,50500,58500,1005,45000,51500,59000,2435,46500,53000,60500,450,45500,52000,59000,185,46500,52500,59500,1110,46000,53500,58000,255,46500,53500,58000,345,48000,54000,57500
CAH01,01,04,70,17000,26000,38500,65,18500,26500,38500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01,02,03,25,30000,44000,52000,15,31500,42500,52000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01,02,04,50,29000,41000,52000,45,27000,40500,52000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01,01,03,11405,45500,52000,59000,9690,45500,52000,59500,1320,45500,51500,59000,470,44000,50500,57500,625,46000,52000,59000,845,45000,51500,59500,705,46000,53000,61000,1315,45000,52000,59000,980,45000,50500,58500,1005,45000,51500,59000,2435,46500,53000,60500,450,45500,52000,59000,185,46500,52500,59500,1110,46000,53500,58000,255,46500,53500,58000,345,48000,54000,57500
CAH01-01,01,04,70,17000,26000,38500,65,18500,26500,38500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01,02,03,25,30000,44000,52000,15,31500,42500,52000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01,02,04,50,29000,41000,52000,45,27000,40500,52000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01-02,01,03,11080,46000,52000,59000,9425,46000,52000,59500,1285,46000,51500,59000,460,44000,50500,57500,610,46500,52000,59000,815,45500,51500,60000,690,46500,53000,61000,1280,45500,52000,59000,960,45000,50500,58500,970,45500,52000,59000,2355,46500,53000,60500,430,45500,52500,59000,180,46500,53000,59500,1075,46500,53500,58000,250,46500,53500,58000,340,48000,54000,57500
CAH01-01-02,01,04,40,19000,23000,34000,40,19000,23500,34000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
