PUBUKPRN,UKPRN,REPORT_UKPRN,OVERALL_RATING,STUDENT_EXPERIENCE_RATING,STUDENT_OUTCOMES_RATING,OUTCOME_URL
10000163,10000163,10000163,Bronze,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=4e0533bf-d8c4-ee11-9079-0022481b574a&finaloutcome=8b4ca5bc-9d53-ee11-be6f-0022481b5c9c
10000291,10000291,10000291,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=109b4e87-5189-ee11-be36-0022481b574a&finaloutcome=a85f867a-9d53-ee11-be6f-0022481b522f
10000381,10000381,10000381,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=86f91a63-4989-ee11-be36-0022481b574a&finaloutcome=79536341-9d53-ee11-be6f-0022481b538a
10000385,10000385,10000385,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=ce9d82e8-4d89-ee11-be36-0022481b574a&finaloutcome=6a93c9a4-9d53-ee11-be6f-0022481b51dd
10000536,10000536,10000536,Bronze,Silver,Requires Improvement,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=eb062e2d-3789-ee11-be36-0022481b5d22&finaloutcome=11546341-9d53-ee11-be6f-0022481b538a
10000571,10000571,10000571,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=a91182b1-4e89-ee11-be36-0022481b5c9c&finaloutcome=202e9124-9d53-ee11-be6f-0022481b5210
10000712,10000712,10000712,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=ae90ec4f-4189-ee11-be36-0022481b5d22&finaloutcome=1c179bbe-9d53-ee11-be6f-0022481b538a
10000747,10000747,10000747,Bronze,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=63a74fa9-8588-ee11-be36-0022481b5c9c&finaloutcome=824e957e-9d53-ee11-be6f-0022481b51dd
10000754,10000754,10000754,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=cb523f5e-4489-ee11-be36-0022481b55ca&finaloutcome=20346820-9d53-ee11-be6f-0022481b5c9c
10000824,10000824,10000824,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=b6159859-3098-ee11-be37-0022481b5d22&finaloutcome=8ce7ca80-9d53-ee11-be6f-0022481b5d22
10000840,10000840,10000840,Silver,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=d90ad97d-4f89-ee11-be36-0022481b55ca&finaloutcome=4b346820-9d53-ee11-be6f-0022481b5c9c
10000840,10003863,10000840,Silver,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=d90ad97d-4f89-ee11-be36-0022481b55ca&finaloutcome=4b346820-9d53-ee11-be6f-0022481b5c9c
10000878,10000878,10000878,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=b44f5e5d-4e89-ee11-be36-0022481b51dd&finaloutcome=ba90cba5-9d53-ee11-be6f-0022481b538a
10000886,10000886,10000886,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=f18d7ad7-5b8f-ee11-be36-0022481b574a&finaloutcome=036ef822-9d53-ee11-be6f-0022481b538a
10000961,10000961,10000961,Bronze,Bronze,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=4caaa349-dbc4-ee11-9079-0022481b574a&finaloutcome=a4e8ca80-9d53-ee11-be6f-0022481b5d22
10000975,10000975,10000975,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=d8988730-dac4-ee11-9079-0022481b5c9c&finaloutcome=c4dadfbf-9d53-ee11-be6f-0022481b522f
10001143,10001143,10001143,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=892affc1-3398-ee11-be37-0022481b574a&finaloutcome=df648b23-9d53-ee11-be6f-0022481b5d22
10001282,10001282,10001282,Silver,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=761b2160-dcc4-ee11-9079-0022481b5c9c&finaloutcome=8b8315a6-9d53-ee11-be6f-0022481b5d22
10001386,10001386,10001386,Gold,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=18dee1f3-4f89-ee11-be36-0022481b51dd&finaloutcome=318713a6-9d53-ee11-be6f-0022481b5c8e
10001444,10001444,10001444,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=4067248d-7288-ee11-be36-0022481b574a&finaloutcome=d0135d44-9d53-ee11-be6f-0022481b55ca
10001475,10001475,10001475,Bronze,Silver,Requires Improvement,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=cc0f2f24-8788-ee11-be36-0022481b5c9c&finaloutcome=6ad6fc44-9d53-ee11-be6f-0022481b5c73
10001478,10001478,10001478,Silver,Bronze,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=4811e432-5089-ee11-be36-0022481b55ca&finaloutcome=32145d44-9d53-ee11-be6f-0022481b55ca
10001503,10001503,10001503,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=f8f9bef5-4989-ee11-be36-0022481b51dd&finaloutcome=14e7ee21-9d53-ee11-be6f-0022481b5984
10001535,10001535,10001535,Requires Improvement,Requires Improvement,Requires Improvement,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=51f1b763-dbc4-ee11-9079-0022481b55ca&finaloutcome=c0277240-9d53-ee11-be6f-0022481b5984
10001546,10001546,10001546,Bronze,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=8ff41ce3-7a88-ee11-be36-0022481b51dd&finaloutcome=6846eea7-9d53-ee11-be6f-0022481b5c73
10001696,10001696,10001696,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=8b8ca00c-4e89-ee11-be36-0022481b574a&finaloutcome=2f64a246-9d53-ee11-be6f-0022481b51dd
10001726,10001726,10001726,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=631cf95a-4789-ee11-be36-0022481b5d22&finaloutcome=a58315a6-9d53-ee11-be6f-0022481b5d22
10001883,10001883,10001883,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=5a919650-3698-ee11-be37-0022481b5d22&finaloutcome=6893c9a4-9d53-ee11-be6f-0022481b51dd
10001919,10001919,10001919,Silver,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=09805331-2989-ee11-be36-0022481b5d22&finaloutcome=39213c3e-9d53-ee11-be6f-0022481b55ca
10002412,10002412,10002412,Bronze,Bronze,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=e739e76e-1789-ee11-be36-0022481b5c9c&finaloutcome=c2bd62ba-9d53-ee11-be6f-0022481b574a
10002599,10002599,10002599,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=9bffdda0-6e88-ee11-be36-0022481b5c9c&finaloutcome=b2c80f42-9d53-ee11-be6f-0022481b5e3a
10002718,10002718,10002718,Bronze,Requires Improvement,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=0c2f7223-e2d6-ee11-904d-0022481b55ca&finaloutcome=c7642c9f-9d53-ee11-be6f-0022481b538a
10002923,10002923,10002923,Bronze,Requires Improvement,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=a4d9d7b6-3689-ee11-be36-0022481b5c9c&finaloutcome=2d69c523-9d53-ee11-be6f-0022481b5e3a
10003193,10003193,10003193,Bronze,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=83bea685-dcc4-ee11-9079-0022481b55ca&finaloutcome=e858ad42-9d53-ee11-be6f-0022481b5210
10003239,10003239,10003239,Bronze,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=8b02037b-dbc4-ee11-9079-0022481b574a&finaloutcome=7641b0a3-9d53-ee11-be6f-0022481b5e3a
10003270,10003270,10003270,Gold,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=ad9fca61-3189-ee11-be36-0022481b5c9c&finaloutcome=5fb1ea7e-9d53-ee11-be6f-0022481b5e3a
10003614,10003614,10003614,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=44b44359-3298-ee11-be37-0022481b55ca&finaloutcome=2a96c47f-9d53-ee11-be6f-0022481b5210
10003645,10003645,10003645,Silver,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=9116ebb9-4d89-ee11-be36-0022481b5984&finaloutcome=d66c46bd-9d53-ee11-be6f-0022481b51dd
10003674,10003674,10003674,Bronze,Requires Improvement,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=565dc97a-dec4-ee11-9079-0022481b51dd&finaloutcome=b069c523-9d53-ee11-be6f-0022481b5e3a
10003678,10003678,10003678,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=824f967e-3598-ee11-be37-0022481b5c9c&finaloutcome=17ce6f40-9d53-ee11-be6f-0022481b5c8e
10003854,10003854,10003854,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=51c8b0b3-4c89-ee11-be36-0022481b51dd&finaloutcome=223752b8-9d53-ee11-be6f-0022481b5c8e
10003861,10003861,10003861,Bronze,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=3cc69e04-2589-ee11-be36-0022481b5d22&finaloutcome=3d658b23-9d53-ee11-be6f-0022481b5d22
10003863,10003863,10003863,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=8eefba20-7e88-ee11-be36-0022481b574a&finaloutcome=3590cba5-9d53-ee11-be6f-0022481b538a
10003867,10001883,10003867,Bronze,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=0b891e6e-1a89-ee11-be36-0022481b5d22&finaloutcome=6e36ad7f-9d53-ee11-be6f-0022481b5c8e
10003867,10003867,10003867,Bronze,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=0b891e6e-1a89-ee11-be36-0022481b5d22&finaloutcome=6e36ad7f-9d53-ee11-be6f-0022481b5c8e
10003928,10003928,10003928,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=7bdee95f-4d89-ee11-be36-0022481b51dd&finaloutcome=eb135d44-9d53-ee11-be6f-0022481b55ca
10003945,10003945,10003945,Silver,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=7ef20e91-dec4-ee11-9079-0022481b55ca&finaloutcome=cf6c46bd-9d53-ee11-be6f-0022481b51dd
10003956,10003956,10003956,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=143d9102-4d89-ee11-be36-0022481b55ca&finaloutcome=e61c887e-9d53-ee11-be6f-0022481b5984
10003957,10003957,10003957,Silver,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=7f2b938d-5189-ee11-be36-0022481b574a&finaloutcome=b7a9d420-9d53-ee11-be6f-0022481b51dd
10004028,10004028,10004028,Silver,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=5bf1b763-dbc4-ee11-9079-0022481b55ca&finaloutcome=88e7ca80-9d53-ee11-be6f-0022481b5d22
10004048,10004048,10004048,Silver,Gold,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=0190c029-7f88-ee11-be36-0022481b5d22&finaloutcome=66513124-9d53-ee11-be6f-0022481b55ca
10004061,10004061,10004061,Bronze,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=24c30a64-8688-ee11-be36-0022481b5c9c&finaloutcome=203a1fbd-9d53-ee11-be6f-0022481b5210
10004063,10004063,10004063,Silver,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=fb9a605e-6ab0-ee11-a569-0022481b574a&finaloutcome=e2e6c2a1-9d53-ee11-be6f-0022481b574a
10004078,10004078,10004078,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=1ebfc8c9-ddc4-ee11-9079-0022481b5c9c&finaloutcome=145b4840-9d53-ee11-be6f-0022481b51dd
10004112,10004112,10004112,Silver,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=a84e26c6-4c89-ee11-be36-0022481b51dd&finaloutcome=c75e9b9d-9d53-ee11-be6f-0022481b5e3a
10004113,10004113,10004113,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=b84036a1-3089-ee11-be36-0022481b5c9c&finaloutcome=84658b23-9d53-ee11-be6f-0022481b5d22
10004180,10004180,10004180,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=26a449ae-dfc4-ee11-9079-0022481b55ca&finaloutcome=5a849a1e-9d53-ee11-be6f-0022481b5210
10004344,10004344,10004344,Silver,Gold,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=7b8af621-5289-ee11-be36-0022481b55ca&finaloutcome=a3642c9f-9d53-ee11-be6f-0022481b538a
10004351,10004351,10004351,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=3f800c31-dec4-ee11-9079-0022481b5d22&finaloutcome=37db944b-9d53-ee11-be6f-0022481b5c73
10004432,10004432,10004432,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=7bcb70e3-b584-ee11-8179-0022481b5d22&finaloutcome=f320117c-9d53-ee11-be6f-0022481b55ca
10004478,10004478,10004478,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=59ef913d-4f89-ee11-be36-0022481b5c9c&finaloutcome=efe6c2a1-9d53-ee11-be6f-0022481b574a
10004576,10004576,10004576,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=d283b96d-7388-ee11-be36-0022481b5c9c&finaloutcome=613d4c45-9d53-ee11-be6f-0022481b574a
