UKPRN,PROVIDER_NAME,KISCOURSEID,KISMODE,COURSE_TITLE,DATASET_ITEM_AFFECTED,SBJ,WEBSITE_SECTION,DATE,NOTES
10003861,Leeds Beckett University,BARCH_C470,01,Architecture,KISCOURSE,N/A,All sections,07/10/2025,New
10003861,Leeds Beckett University,BARCH_C470,02,Architecture,KISCOURSE,N/A,All sections,07/10/2025,New
10003861,Leeds Beckett University,BUSST_A386,01,Business Studies,KISCOURSE,N/A,All sections,07/10/2025,Removed
10003861,Leeds Beckett University,BUSST_A386,02,Business Studies,KISCOURSE,N/A,All sections,07/10/2025,Removed
10004879,OPEN COLLEGE OF THE ARTS,A53,02,Visual Communications,KISCOURSE,N/A,All sections,16/10/2025,New
10005337,"Queen Margaret University, Edinburgh",BAHAPRS,01,Acting and Performance,COMMON,CAH25-02-03,Employment 15 months after the course,16/10/2025,Updated
10005337,"Queen Margaret University, Edinburgh",BAHAPRS,01,Acting and Performance,CONTINUATION,CAH25-02-03,After 1 year on the course,16/10/2025,Updated
10005337,"Queen Margaret University, Edinburgh",BAHAPRS,01,Acting and Performance,EMPLOYMENT,CAH25-02-03,Employment 15 months after the course,16/10/2025,Updated
10005337,"Queen Margaret University, Edinburgh",BAHAPRS,01,Acting and Performance,GOVOICEWORK,CAH25-02-03,Graduate perceptions,16/10/2025,Updated
10005337,"Queen Margaret University, Edinburgh",BAHAPRS,01,Acting and Performance,JOBTYPE,CAH25-02-03,Employment 15 months after the course,16/10/2025,Updated
10005337,"Queen Margaret University, Edinburgh",BAHAPRS,01,Acting and Performance,GOSALARY,CAH25-02-03,Earnings after the course,16/10/2025,Updated
10005337,"Queen Margaret University, Edinburgh",BAHBUMAYTS,01,Business Management with Analytics,KISCOURSE,N/A,All sections,16/10/2025,New
10005337,"Queen Margaret University, Edinburgh",BAHBUMDMKS,01,Business Management with Digital Marketing,KISCOURSE,N/A,All sections,16/10/2025,New
10005337,"Queen Margaret University, Edinburgh",BAHBUMFINS,01,Business Management with Finance,KISCOURSE,N/A,All sections,16/10/2025,New
10005337,"Queen Margaret University, Edinburgh",BAHBUMHRMS,01,Business Management with Human Resource Management,KISCOURSE,N/A,All sections,16/10/2025,New
10005337,"Queen Margaret University, Edinburgh",BAHBUMS,01,Business Management,CONTINUATION,,After 1 year on the course,16/10/2025,New
10005337,"Queen Margaret University, Edinburgh",BAHBUMS,01,Business Management,CONTINUATION,CAH17-01-01,After 1 year on the course,16/10/2025,Removed
10005337,"Queen Margaret University, Edinburgh",BAHBUMS,01,Business Management,NSS,,Student satisfaction,16/10/2025,Updated
10005337,"Queen Margaret University, Edinburgh",BAHBUMS,01,Business Management,NSSCOUNTRY,,Student satisfaction,16/10/2025,Updated
10005337,"Queen Margaret University, Edinburgh",BAHBUSPSYS,01,Business Psychology,KISCOURSE,N/A,All sections,16/10/2025,New
10005337,"Queen Margaret University, Edinburgh",BAHCDCS,01,Costume Design and Construction,COMMON,CAH25-02-03,Employment 15 months after the course,16/10/2025,Updated
10005337,"Queen Margaret University, Edinburgh",BAHCDCS,01,Costume Design and Construction,CONTINUATION,CAH25-02-03,After 1 year on the course,16/10/2025,Updated
10005337,"Queen Margaret University, Edinburgh",BAHCDCS,01,Costume Design and Construction,EMPLOYMENT,CAH25-02-03,Employment 15 months after the course,16/10/2025,Updated
10005337,"Queen Margaret University, Edinburgh",BAHCDCS,01,Costume Design and Construction,GOVOICEWORK,CAH25-02-03,Graduate perceptions,16/10/2025,Updated
10005337,"Queen Margaret University, Edinburgh",BAHCDCS,01,Costume Design and Construction,JOBTYPE,CAH25-02-03,Employment 15 months after the course,16/10/2025,Updated
10005337,"Queen Margaret University, Edinburgh",BAHCDCS,01,Costume Design and Construction,NSS,,Student satisfaction,16/10/2025,New
10005337,"Queen Margaret University, Edinburgh",BAHCDCS,01,Costume Design and Construction,NSS,CAH25-02-03,Student satisfaction,16/10/2025,Removed
10005337,"Queen Margaret University, Edinburgh",BAHCDCS,01,Costume Design and Construction,NSSCOUNTRY,,Student satisfaction,16/10/2025,Updated
10005337,"Queen Margaret University, Edinburgh",BAHCDCS,01,Costume Design and Construction,GOSALARY,CAH25-02-03,Earnings after the course,16/10/2025,Updated
10005337,"Queen Margaret University, Edinburgh",BAHDGDS,01,Digital and Graphic Design,KISCOURSE,N/A,All sections,16/10/2025,New
10005337,"Queen Margaret University, Edinburgh",BAHDMPRS,01,Digital Marketing and Public Relations,CONTINUATION,CAH17-01-06,After 1 year on the course,16/10/2025,Removed
10005337,"Queen Margaret University, Edinburgh",BAHDMPRS,01,Digital Marketing and Public Relations,ENTRY,CAH17-01-06,Entry information,16/10/2025,Removed
10005337,"Queen Margaret University, Edinburgh",BAHDMPRS,01,Digital Marketing and Public Relations,NSS,CAH17-01-06,Student satisfaction,16/10/2025,Removed
10005337,"Queen Margaret University, Edinburgh",BAHDMPRS,01,Digital Marketing and Public Relations,NSSCOUNTRY,,Student satisfaction,16/10/2025,Removed
10005337,"Queen Margaret University, Edinburgh",BAHDMPRS,01,Digital Marketing and Public Relations,TARIFF,CAH17-01-06,Entry information,16/10/2025,Removed
10005337,"Queen Margaret University, Edinburgh",BAHDRAS,01,Drama,ENTRY,,Entry information,16/10/2025,Updated
10005337,"Queen Margaret University, Edinburgh",BAHDRAS,01,Drama,NSS,,Student satisfaction,16/10/2025,Updated
10005337,"Queen Margaret University, Edinburgh",BAHDRAS,01,Drama,NSSCOUNTRY,,Student satisfaction,16/10/2025,Updated
