UKPRN,PROVIDER_NAME,UPDATED
10003861,Leeds Beckett University,07/10/2025
10000163,Health Sciences University,07/10/2025
10000216,All Nations Christian College Limited,07/10/2025
10000291,Anglia Ruskin University,07/10/2025
10000381,Arts Educational Schools,07/10/2025
10000385,The Arts University Bournemouth,07/10/2025
10000415,Askham Bryan College,07/10/2025
10000528,BARKING AND DAGENHAM COLLEGE,07/10/2025
10000533,Barnet & Southgate College,07/10/2025
10000536,Barnsley College,07/10/2025
10000560,Basingstoke College of Technology,07/10/2025
10000571,Bath Spa University,07/10/2025
10000712,University College Birmingham,07/10/2025
10000720,Bishop Auckland College,07/10/2025
10000721,Bishop Burton College,07/10/2025
10000747,Blackburn College,07/10/2025
10000754,Blackpool and the Fylde College,07/10/2025
10000794,Bolton College,07/10/2025
10000812,Boston College,07/10/2025
10000820,The Bournemouth and Poole College,07/10/2025
10000824,Bournemouth University,07/10/2025
10000840,Bradford College,07/10/2025
10000840,Bradford College,07/10/2025
10000878,University Centre Somerset College Group,07/10/2025
10000886,The University of Brighton,07/10/2025
10000894,Bristol Baptist College,07/10/2025
10000944,Brockenhurst College,07/10/2025
10000948,Bromley College of Further and Higher Education,07/10/2025
10000948,Bromley College of Further and Higher Education,07/10/2025
10000950,Brooklands College,07/10/2025
10000961,Brunel University London,07/10/2025
10000975,Buckinghamshire New University,07/10/2025
10001000,Burnley College,07/10/2025
10001004,Burton and South Derbyshire College,07/10/2025
10001004,Burton and South Derbyshire College,07/10/2025
10001005,Bury College,07/10/2025
10001093,Calderdale College,07/10/2025
10001143,Canterbury Christ Church University,07/10/2025
10001148,CAPEL MANOR COLLEGE,07/10/2025
10001165,Cardinal Newman Catholic Sixth Form College,07/10/2025
10001165,Cardinal Newman Catholic Sixth Form College,07/10/2025
10001264,Central School of Ballet,07/10/2025
10001282,University of Northumbria at Newcastle,07/10/2025
10001378,Chesterfield College,07/10/2025
10001386,Chicken Shed Theatre Company,07/10/2025
10001444,National Centre for Circus Arts,07/10/2025
10001465,Bath College,07/10/2025
10001467,City of Bristol College,07/10/2025
10001475,City of Sunderland College,07/10/2025
10001478,"City St George's, University of London",07/10/2025
10001503,The Northern School of Art,07/10/2025
10001535,Colchester Institute,07/10/2025
10001546,The College of Integrated Chinese Medicine,07/10/2025
10001696,Cornwall College,07/10/2025
10001726,Coventry University,07/10/2025
10001743,Craven College,07/10/2025
10001778,Croydon College,07/10/2025
10001850,DARLINGTON COLLEGE,07/10/2025
10001883,De Montfort University,07/10/2025
10001919,DCG,07/10/2025
10002011,Bird College,07/10/2025
10002029,DRAMA STUDIO LONDON LIMITED,07/10/2025
10002094,"Ealing, Hammersmith & West London College",07/10/2025
10002107,The Windsor Forest Colleges Group,07/10/2025
10002111,EAST DURHAM COLLEGE,07/10/2025
10002130,East Surrey College,07/10/2025
10002313,ESCP Europe Business School,07/10/2025
10002370,Exeter College,07/10/2025
10002412,Farnborough College of Technology,07/10/2025
10002599,Furness College,07/10/2025
10002681,Glasgow School of Art,07/10/2025
10002696,Gloucestershire College,07/10/2025
10002718,Goldsmiths College,07/10/2025
10002743,Grantham College,07/10/2025
10002852,Halesowen College,07/10/2025
10002852,Halesowen College,07/10/2025
10002863,Riverside College Halton,07/10/2025
10002917,HARTLEPOOL COLLEGE OF FURTHER EDUCATION,07/10/2025
10002923,East Sussex College Group,07/10/2025
10003010,Coventry College,07/10/2025
10003022,Hereford College of Arts,07/10/2025
10003023,"Herefordshire, Ludlow and North Shropshire College",07/10/2025
10003035,Hertford Regional College,07/10/2025
