PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,ACCTYPE,ACCDEPEND,ACCDEPENDURL,ACCDEPENDURLW
10000163,10000163,BSRDIF-B821,01,06918,0,,
10000163,10000163,BSRROF-B822,01,06917,0,,
10000163,10000163,BSRROFF-B824,01,06917,0,,
10000163,10000163,MCCF-B320,01,05701,0,,
10000163,10000163,MOSTFT-B110,01,06101,0,,
10000163,10000163,MOSTPT-B110,02,06101,0,,
10000291,10000291,K00009,01,19501,0,,
10000291,10000291,K00035,01,06101,0,,
10000291,10000291,K00065,01,00701,0,,
10000291,10000291,K00065,01,00601,0,,
10000291,10000291,K00065,01,03401,0,,
10000291,10000291,K00082,01,11102,0,,
10000291,10000291,K00102,01,09903,0,,
10000291,10000291,K00104,01,10101,0,,
10000291,10000291,K00106,01,12201,0,,
10000291,10000291,K00108,01,11106,0,,
10000291,10000291,K00109,01,11105,0,,
10000291,10000291,K00116,01,04401,0,,
10000291,10000291,K00119,01,11103,0,,
10000291,10000291,K00123,01,01110,0,,
10000291,10000291,K00123,01,09402,0,,
10000291,10000291,K00127,01,14101,0,,
10000291,10000291,K00127,01,02801,0,,
10000291,10000291,K00128,01,05601,0,,
10000291,10000291,K00132,01,05601,0,,
10000291,10000291,K00139,01,13401,0,,
10000291,10000291,K00142,01,09903,0,,
10000291,10000291,K00143,01,12101,0,,
10000291,10000291,K00143,01,00102,0,,
10000291,10000291,K00144,01,02801,0,,
10000291,10000291,K00144,01,14101,0,,
10000291,10000291,K00145,01,12201,0,,
10000291,10000291,K00147,01,02801,0,,
10000291,10000291,K00147,01,12201,0,,
10000291,10000291,K00150,02,06905,0,,
10000291,10000291,K00157,01,02001,0,,
10000291,10000291,K00158,01,02001,0,,
10000291,10000291,K00162,01,02801,0,,
10000291,10000291,K00162,01,12201,0,,
10000291,10000291,K00163,01,13401,0,,
10000291,10000291,K00170,01,09402,0,,
10000291,10000291,K00170,01,01110,0,,
10000291,10000291,K00179,01,10101,0,,
10000291,10000291,K00182,01,16401,0,,
10000291,10000291,K00182,01,13601,0,,
10000291,10000291,K00187,02,06101,0,,
10000291,10000291,K00188,01,07301,0,,
10000291,10000291,K00188,01,13401,0,,
10000291,10000291,K00189,01,13401,0,,
10000291,10000291,K00191,01,13401,0,,
10000291,10000291,K00193,01,01801,0,,
10000291,10000291,K00193,01,16701,0,,
10000291,10000291,K00194,01,01801,0,,
10000291,10000291,K00194,01,16701,0,,
10000291,10000291,K00199,01,06101,0,,
10000291,10000291,K00200,01,05601,0,,
10000291,10000291,K00201,01,05601,0,,
10000291,10000291,K00202,01,05601,0,,
10000291,10000291,K00205,02,06101,0,,
10000291,10000291,K00211,01,12101,0,,
10000291,10000291,K00211,01,00102,0,,
10000291,10000291,K00212,01,13401,0,,
10000291,10000291,K00212,01,07301,0,,
10000291,10000291,K00225,01,07301,0,,
10000291,10000291,K00225,01,13401,0,,
10000291,10000291,K00249,01,05601,0,,
10000291,10000291,K00283,02,12201,0,,
10000291,10000291,K00283,02,02801,0,,
10000291,10000291,K00289,02,14101,0,,
10000291,10000291,K00289,02,02801,0,,
10000291,10000291,K00300,01,06909,0,,
10000291,10000291,K00306,01,04401,0,,
10000291,10000291,K00309,01,13401,0,,
10000291,10000291,K00322,02,12201,0,,
10000291,10000291,K00323,01,13401,0,,
10000291,10000291,K00324,01,13401,0,,
10000291,10000291,K00372,01,06907,0,,
10000291,10000291,K00381,01,05901,0,,
10000291,10000291,K00382,01,16701,0,,
10000291,10000291,K00382,01,01801,0,,
10000291,10000291,K00386,01,16101,0,,
10000291,10000291,K00387,01,16101,0,,
