PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,LOCID
10000163,10000163,BSRDIF-B821,01,AE
10000163,10000163,BSRROF-B822,01,AE
10000163,10000163,BSRROFF-B824,01,AE
10000163,10000163,BSSEHF-C607,01,AE
10000163,10000163,BSSEHFF-C605,01,AE
10000163,10000163,BSSRF-C630,01,AE
10000163,10000163,BSSRFF-C631,01,AE
10000163,10000163,MCCF-B320,01,AE
10000163,10000163,MCCFF-B321,01,AE
10000163,10000163,MOSTFT-B110,01,UCO
10000163,10000163,MOSTPT-B110,02,UCO
10000216,10000216,177650,01,AN
10000216,10000216,177650,02,AN
10000216,10000216,532986,01,AN
10000216,10000216,532986,02,AN
10000291,10000291,K00001,01,AA
10000291,10000291,K00001,01,CC
10000291,10000291,K00004,01,CC
10000291,10000291,K00005,01,CC
10000291,10000291,K00006,01,CC
10000291,10000291,K00007,01,CC
10000291,10000291,K00008,01,CC
10000291,10000291,K00009,01,CC
10000291,10000291,K00011,01,CC
10000291,10000291,K00018,01,CC
10000291,10000291,K00020,01,CC
10000291,10000291,K00024,01,CC
10000291,10000291,K00028,01,CC
10000291,10000291,K00032,01,CC
10000291,10000291,K00035,01,SS
10000291,10000291,K00038,01,GG
10000291,10000291,K00040,01,CC
10000291,10000291,K00041,01,CC
10000291,10000291,K00042,01,CC
10000291,10000291,K00045,01,CC
10000291,10000291,K00048,01,CC
10000291,10000291,K00050,01,CC
10000291,10000291,K00051,01,GG
10000291,10000291,K00052,01,GG
10000291,10000291,K00053,01,GG
10000291,10000291,K00054,01,GG
10000291,10000291,K00055,01,GG
10000291,10000291,K00065,01,AA
10000291,10000291,K00065,01,CC
10000291,10000291,K00082,01,AA
10000291,10000291,K00082,01,CC
10000291,10000291,K00082,01,PP
10000291,10000291,K00083,01,GG
10000291,10000291,K00087,01,AA
10000291,10000291,K00092,01,PP
10000291,10000291,K00096,01,GG
10000291,10000291,K00099,01,PP
10000291,10000291,K00100,01,AA
10000291,10000291,K00102,01,AA
10000291,10000291,K00104,01,CC
10000291,10000291,K00105,01,AA
10000291,10000291,K00106,01,AA
10000291,10000291,K00108,01,AA
10000291,10000291,K00108,01,CC
10000291,10000291,K00109,01,AA
10000291,10000291,K00109,01,CC
10000291,10000291,K00111,01,AA
10000291,10000291,K00116,01,AA
10000291,10000291,K00116,01,CC
10000291,10000291,K00119,01,AA
10000291,10000291,K00119,01,CC
10000291,10000291,K00123,01,CC
10000291,10000291,K00126,01,AA
10000291,10000291,K00126,01,CC
