PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,LOCID,UCASCOURSEID
10000163,10000163,BSRDIF-B821,01,AE,7473
10000163,10000163,BSRROF-B822,01,AE,5114
10000163,10000163,BSRROFF-B824,01,AE,5067
10000163,10000163,BSSEHF-C607,01,AE,4285
10000163,10000163,BSSEHFF-C605,01,AE,6925
10000163,10000163,BSSRF-C630,01,AE,4462
10000163,10000163,BSSRFF-C631,01,AE,5155
10000163,10000163,MCCF-B320,01,AE,2365
10000163,10000163,MCCFF-B321,01,AE,5956
10000163,10000163,MOSTFT-B110,01,UCO,7626
10000291,10000291,K00001,01,AA,8166
10000291,10000291,K00001,01,CC,1301
10000291,10000291,K00004,01,CC,3215
10000291,10000291,K00005,01,CC,5549
10000291,10000291,K00006,01,CC,3009
10000291,10000291,K00007,01,CC,7391
10000291,10000291,K00008,01,CC,1580
10000291,10000291,K00009,01,CC,9299
10000291,10000291,K00011,01,CC,3609
10000291,10000291,K00018,01,CC,4917
10000291,10000291,K00020,01,CC,2299
10000291,10000291,K00024,01,CC,3893
10000291,10000291,K00028,01,CC,7457
10000291,10000291,K00032,01,CC,6900
10000291,10000291,K00035,01,SS,3467
10000291,10000291,K00038,01,GG,1403
10000291,10000291,K00040,01,CC,5703
10000291,10000291,K00041,01,CC,5854
10000291,10000291,K00042,01,CC,2474
10000291,10000291,K00045,01,CC,5516
10000291,10000291,K00048,01,CC,6989
10000291,10000291,K00050,01,CC,4481
10000291,10000291,K00051,01,GG,8595
10000291,10000291,K00052,01,GG,6352
10000291,10000291,K00053,01,GG,7955
10000291,10000291,K00054,01,GG,9558
10000291,10000291,K00055,01,GG,5066
10000291,10000291,K00065,01,AA,3574
10000291,10000291,K00065,01,CC,3158
10000291,10000291,K00082,01,AA,8566
10000291,10000291,K00082,01,CC,5218
10000291,10000291,K00082,01,PP,0112
10000291,10000291,K00083,01,GG,0708
10000291,10000291,K00087,01,AA,3053
10000291,10000291,K00092,01,PP,1497
10000291,10000291,K00096,01,GG,0708
10000291,10000291,K00099,01,PP,2050
10000291,10000291,K00100,01,AA,1634
10000291,10000291,K00102,01,AA,9387
10000291,10000291,K00104,01,CC,9985
10000291,10000291,K00105,01,AA,4937
10000291,10000291,K00106,01,AA,8317
10000291,10000291,K00108,01,AA,5659
10000291,10000291,K00108,01,CC,2927
10000291,10000291,K00109,01,AA,0610
10000291,10000291,K00109,01,CC,7536
10000291,10000291,K00111,01,AA,7338
10000291,10000291,K00116,01,AA,0370
10000291,10000291,K00116,01,CC,4000
10000291,10000291,K00119,01,AA,7752
10000291,10000291,K00119,01,CC,5486
10000291,10000291,K00123,01,CC,1950
10000291,10000291,K00126,01,AA,0139
10000291,10000291,K00126,01,CC,4972
10000291,10000291,K00127,01,AA,4632
10000291,10000291,K00128,01,CC,7282
10000291,10000291,K00132,01,CC,8057
10000291,10000291,K00133,01,CC,2104
10000291,10000291,K00136,01,AA,8392
10000291,10000291,K00136,01,CC,6291
10000291,10000291,K00139,01,CC,1589
10000291,10000291,K00141,01,AA,4316
10000291,10000291,K00142,01,AA,2453
